unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
"11857970,JC469298,2019-10-11 20:29:00.000000 UTC,009XX N DRAKE AVE,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENCE-GARAGE,false,false,1121,11,27,23,26,1152542.0,1906004.0,2019,2019-10-18 15:46:41.000000 UTC,41.897935801,-87.71517465,""(41.897935801, -87.71517465)"""
"3930222,HL303350,2005-04-18 17:45:00.000000 UTC,0000X W 111TH ST,0460,BATTERY,SIMPLE,GAS STATION,false,false,513,5,34,49,08B,1178032.0,1831365.0,2005,2018-02-28 15:56:25.000000 UTC,41.692577145,-87.623815638,""(41.692577145, -87.623815638)"""
12675272,JF186537,2022-03-25 14:21:00.000000 UTC,075XX S SOUTH SHORE DR,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,false,false,421,4,7,43,06,,,2022,2023-01-18 15:41:13.000000 UTC,,,
"6837996,HR245572,2009-04-01 03:35:00.000000 UTC,012XX W 97TH PL,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,2213,22,21,73,03,1169853.0,1840194.0,2009,2018-02-28 15:56:25.000000 UTC,41.716986276,-87.653505158,""(41.716986276, -87.653505158)"""
"7825350,HS636993,2010-11-28 22:00:00.000000 UTC,006XX W HARRISON ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,OTHER,false,false,131,1,2,28,04B,1172257.0,1897564.0,2010,2018-02-10 15:50:01.000000 UTC,41.874363279,-87.643013039,""(41.874363279, -87.643013039)"""
"3522446,HK596246,2004-09-01 14:30:00.000000 UTC,036XX N CALIFORNIA AVE,0460,BATTERY,SIMPLE,""SCHOOL, PRIVATE, BUILDING"",false,false,1733,17,33,16,08B,1157069.0,1924076.0,2004,2018-02-10 15:50:01.000000 UTC,41.947436042,-87.698055617,""(41.947436042, -87.698055617)"""
"13684782,JH533722,2024-11-30 10:00:00.000000 UTC,056XX N KEDVALE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1711,17,39,13,11,1147716.0,1937058.0,2024,2024-12-21 15:40:46.000000 UTC,41.983244686,-87.732100251,""(41.983244686, -87.732100251)"""
"2068625,HH291703,2002-04-07 16:50:00.000000 UTC,032XX N SPRINGFIELD AV,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,true,false,1732,17,,,06,1149817.0,1921372.0,2002,2018-02-10 15:50:01.000000 UTC,41.940160451,-87.724782842,""(41.940160451, -87.724782842)"""
"3005150,HJ702077,2003-10-18 11:40:00.000000 UTC,047XX S KEDZIE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,821,8,14,58,06,1155847.0,1872737.0,2003,2018-02-28 15:56:25.000000 UTC,41.806581405,-87.703931246,""(41.806581405, -87.703931246)"""
"10517284,HZ258881,2016-05-10 14:00:00.000000 UTC,009XX W 81ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,613,6,21,71,08B,1171633.0,1851130.0,2016,2018-02-10 15:50:01.000000 UTC,41.746957431,-87.646666264,""(41.746957431, -87.646666264)"""
"3269879,HK298489,2004-04-11 02:00:00.000000 UTC,024XX S KEDZIE AVE,0890,THEFT,FROM BUILDING,OTHER,false,false,1024,10,22,30,06,1155409.0,1887714.0,2004,2018-02-10 15:50:01.000000 UTC,41.847688972,-87.705136035,""(41.847688972, -87.705136035)"""
"12635885,JF166288,2022-03-07 14:58:00.000000 UTC,004XX S JEFFERSON ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,121,1,25,28,06,1172393.0,1898344.0,2022,2023-01-03 15:40:27.000000 UTC,41.87650065,-87.642490662,""(41.87650065, -87.642490662)"""
"10312864,HY501940,2015-11-14 22:00:00.000000 UTC,062XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,313,3,20,42,08B,1179990.0,1863801.0,2015,2018-02-10 15:50:01.000000 UTC,41.781540907,-87.615656827,""(41.781540907, -87.615656827)"""
"6925450,HR330719,2009-05-20 03:40:18.000000 UTC,022XX W WARREN BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,1332,12,2,28,06,1161474.0,1900313.0,2009,2018-02-28 15:56:25.000000 UTC,41.882137934,-87.682526766,""(41.882137934, -87.682526766)"""
"6467583,HP545713,2008-08-31 13:00:00.000000 UTC,017XX E 71ST PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,324,3,5,43,14,1189265.0,1857921.0,2008,2018-02-10 15:50:01.000000 UTC,41.765188256,-87.581841365,""(41.765188256, -87.581841365)"""
"12655163,JF189052,2022-03-19 12:00:00.000000 UTC,077XX W FOREST PRESERVE AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,false,false,1631,16,38,17,11,1123684.0,1923777.0,2022,2023-01-03 15:40:27.000000 UTC,41.947228978,-87.820779186,""(41.947228978, -87.820779186)"""
"11785150,JC380573,2019-08-02 23:30:00.000000 UTC,033XX N HALSTED ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,1924,19,44,6,06,1170327.0,1922601.0,2019,2019-08-09 15:40:23.000000 UTC,41.943108594,-87.649366085,""(41.943108594, -87.649366085)"""
"13571652,JH397086,2024-08-21 20:05:00.000000 UTC,008XX N DEARBORN ST,0440,BATTERY,""AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY"",CHA PARKING LOT / GROUNDS,false,false,1832,18,42,8,08B,1175793.0,1905850.0,2024,2024-12-21 15:40:46.000000 UTC,41.897021755,-87.629781141,""(41.897021755, -87.629781141)"""
"7364837,HS167527,2010-02-16 15:00:00.000000 UTC,034XX S WESTERN BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,913,9,11,59,06,1161090.0,1881839.0,2010,2018-02-10 15:50:01.000000 UTC,41.831451404,-87.684449473,""(41.831451404, -87.684449473)"""
"7790653,HS599643,2010-11-04 22:35:00.000000 UTC,028XX W LUNT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2411,24,50,2,14,1156131.0,1946299.0,2010,2016-02-04 06:33:39.000000 UTC,42.008436125,-87.700900382,""(42.008436125, -87.700900382)"""
"13061500,JG246926,2023-05-03 08:30:00.000000 UTC,057XX S MOBILE AVE,0810,THEFT,OVER $500,STREET,false,false,811,8,13,56,06,1135370.0,1865759.0,2023,2023-08-19 15:40:26.000000 UTC,41.787819492,-87.779200371,""(41.787819492, -87.779200371)"""
"7736654,HS534640,2010-09-26 06:18:00.000000 UTC,077XX S HALSTED ST,0610,BURGLARY,FORCIBLE ENTRY,GROCERY FOOD STORE,false,false,621,6,17,71,05,1172306.0,1853636.0,2010,2018-02-10 15:50:01.000000 UTC,41.753819454,-87.644126664,""(41.753819454, -87.644126664)"""
"1703257,G500604,2001-08-22 12:04:44.000000 UTC,033XX S LITUANICA AV,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,924,9,,,05,1170891.0,1882814.0,2001,2015-08-17 15:03:40.000000 UTC,41.833918112,-87.648460287,""(41.833918112, -87.648460287)"""
"10405315,HZ141801,2016-02-05 19:00:00.000000 UTC,062XX S SEELEY AVE,0460,BATTERY,SIMPLE,ALLEY,false,false,714,7,15,67,08B,1163767.0,1863325.0,2016,2018-02-10 15:50:01.000000 UTC,41.780590862,-87.675147511,""(41.780590862, -87.675147511)"""
"9012259,HW159940,2013-02-17 12:26:00.000000 UTC,068XX S KARLOV AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,833,8,13,65,08B,1150212.0,1859006.0,2013,2018-02-10 15:50:01.000000 UTC,41.769012795,-87.724955122,""(41.769012795, -87.724955122)"""
"7741421,HS549205,2010-10-05 13:25:00.000000 UTC,105XX S ABERDEEN ST,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,""SCHOOL, PUBLIC, BUILDING"",false,false,2232,22,34,73,14,1171011.0,1834881.0,2010,2018-02-10 15:50:01.000000 UTC,41.702381428,-87.64941847,""(41.702381428, -87.64941847)"""
"4891626,HM338733,2006-05-08 21:45:00.000000 UTC,011XX W AINSLIE ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,true,false,2033,20,48,3,26,1167750.0,1932937.0,2006,2018-02-28 15:56:25.000000 UTC,41.971527007,-87.658538632,""(41.971527007, -87.658538632)"""
"6734247,HR151715,2008-08-08 00:00:00.000000 UTC,001XX W JACKSON BLVD,1110,DECEPTIVE PRACTICE,BOGUS CHECK,COMMERCIAL / BUSINESS OFFICE,true,false,112,1,2,32,11,1175230.0,1898963.0,2008,2018-02-28 15:56:25.000000 UTC,41.87813609,-87.632055653,""(41.87813609, -87.632055653)"""
"3626589,HK720258,2004-10-23 12:00:00.000000 UTC,004XX N LAWLER AVE,0810,THEFT,OVER $500,RESIDENCE,false,true,1532,15,28,25,06,1142625.0,1902442.0,2004,2018-02-28 15:56:25.000000 UTC,41.888351553,-87.751687917,""(41.888351553, -87.751687917)"""
"2835626,HJ492733,2003-07-14 08:45:00.000000 UTC,039XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,213,2,3,38,06,1179510.0,1878707.0,2003,2018-02-28 15:56:25.000000 UTC,41.822455269,-87.616961139,""(41.822455269, -87.616961139)"""
"6833244,HR241629,2009-03-29 14:15:00.000000 UTC,076XX S EVANS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,624,6,6,69,08B,1182547.0,1854543.0,2009,2018-02-28 15:56:25.000000 UTC,41.756077103,-87.606569167,""(41.756077103, -87.606569167)"""
"5860193,HN667916,2007-10-24 20:42:55.000000 UTC,064XX S EBERHART AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,312,3,20,42,04A,1180687.0,1862338.0,2007,2018-02-28 15:56:25.000000 UTC,41.777510301,-87.613146407,""(41.777510301, -87.613146407)"""
"5186531,HM775521,2006-12-14 21:00:00.000000 UTC,015XX W 79TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,612,6,21,71,14,1167418.0,1852342.0,2006,2018-02-10 15:50:01.000000 UTC,41.750374594,-87.662076498,""(41.750374594, -87.662076498)"""
"9418449,HW554848,2013-12-01 05:53:00.000000 UTC,081XX S SANGAMON ST,0810,THEFT,OVER $500,STREET,false,false,613,6,21,71,06,1171390.0,1850958.0,2013,2018-02-10 15:50:01.000000 UTC,41.746490758,-87.647561702,""(41.746490758, -87.647561702)"""
"1656161,G442516,2001-07-27 14:00:00.000000 UTC,012XX N MONTICELLO AV,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2535,25,,,07,1151856.0,1907849.0,2001,2015-08-17 15:03:40.000000 UTC,41.903012196,-87.717645644,""(41.903012196, -87.717645644)"""
"2003614,HH193858,2002-02-18 12:30:00.000000 UTC,036XX W AUGUSTA BL,2027,NARCOTICS,POSS: CRACK,STREET,true,false,1112,11,,,18,1152042.0,1906425.0,2002,2018-02-28 15:56:25.000000 UTC,41.899100937,-87.717000005,""(41.899100937, -87.717000005)"""
"7495866,HS299732,2010-05-10 00:05:00.000000 UTC,038XX W 78TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,833,8,18,70,14,1151942.0,1852342.0,2010,2018-02-10 15:50:01.000000 UTC,41.750691922,-87.718788196,""(41.750691922, -87.718788196)"""
"3477799,HK526238,2004-07-30 19:50:00.000000 UTC,020XX W DIVERSEY PKWY,2027,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,true,false,1913,19,1,5,18,1162151.0,1918587.0,2004,2018-02-28 15:56:25.000000 UTC,41.932269027,-87.679529369,""(41.932269027, -87.679529369)"""
"11253885,JB182787,2018-03-12 11:20:00.000000 UTC,011XX N WESTERN AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,""SCHOOL, PUBLIC, BUILDING"",false,false,1212,12,1,24,08B,1160197.0,1907701.0,2018,2018-05-04 15:51:04.000000 UTC,41.902437713,-87.687011559,""(41.902437713, -87.687011559)"""
"13214996,JG429742,2023-09-18 14:05:00.000000 UTC,051XX S BLACKSTONE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,234,2,4,41,11,1186787.0,1871326.0,2023,2023-09-26 15:45:34.000000 UTC,41.802031713,-87.59049938,""(41.802031713, -87.59049938)"""
"1624961,G403715,2001-07-10 09:30:00.000000 UTC,020XX W MELROSE ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1913,19,,,05,1162122.0,1921535.0,2001,2015-08-17 15:03:40.000000 UTC,41.940359122,-87.679553323,""(41.940359122, -87.679553323)"""
"6711296,HR127248,2009-01-18 11:00:00.000000 UTC,020XX N HARLEM AVE,0810,THEFT,OVER $500,STREET,false,false,2512,25,36,25,06,1127765.0,1912732.0,2009,2016-02-04 06:33:39.000000 UTC,41.916852176,-87.806027883,""(41.916852176, -87.806027883)"""
"2361792,HH243956,2002-03-15 12:07:00.000000 UTC,070XX S MAY ST,0460,BATTERY,SIMPLE,OTHER,false,false,733,7,17,68,08B,1169870.0,1858045.0,2002,2018-02-28 15:56:25.000000 UTC,41.765971524,-87.652925956,""(41.765971524, -87.652925956)"""
"8461079,HV138275,2012-01-30 14:00:00.000000 UTC,016XX W 19TH ST,1330,CRIMINAL TRESPASS,TO LAND,""SCHOOL, PUBLIC, GROUNDS"",false,false,1222,12,25,31,26,1165677.0,1890801.0,2012,2018-02-10 15:50:01.000000 UTC,41.855947695,-87.667364371,""(41.855947695, -87.667364371)"""
"6658578,HP730623,2008-12-12 17:20:00.000000 UTC,017XX W 19TH ST,031A,ROBBERY,ARMED: HANDGUN,GROCERY FOOD STORE,false,false,1223,12,25,31,03,1165305.0,1890792.0,2008,2018-02-28 15:56:25.000000 UTC,41.855930908,-87.668730048,""(41.855930908, -87.668730048)"""
"7637956,HS442150,2010-08-02 14:00:00.000000 UTC,074XX N RIDGE BLVD,0820,THEFT,$500 AND UNDER,""SCHOOL, PRIVATE, BUILDING"",false,false,2411,24,49,2,06,1160607.0,1949424.0,2010,2018-02-10 15:50:01.000000 UTC,42.016919291,-87.684344863,""(42.016919291, -87.684344863)"""
"10604967,HZ356643,2016-07-20 01:30:00.000000 UTC,003XX N ORLEANS ST,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1831,18,42,8,06,1174005.0,1902578.0,2016,2018-02-10 15:50:01.000000 UTC,41.888083249,-87.636445738,""(41.888083249, -87.636445738)"""
"3241651,HK214404,2004-03-01 20:24:55.000000 UTC,009XX N HUDSON AVE,2027,NARCOTICS,POSS: CRACK,CHA APARTMENT,true,false,1823,18,27,8,18,1173001.0,1906745.0,2004,2018-02-28 15:56:25.000000 UTC,41.899540054,-87.640009077,""(41.899540054, -87.640009077)"""
"4572542,HM161155,2006-02-03 14:50:00.000000 UTC,016XX S AVERS AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1014,10,24,29,08B,1151008.0,1891566.0,2006,2018-02-28 15:56:25.000000 UTC,41.858346536,-87.721187148,""(41.858346536, -87.721187148)"""
"4357601,HL653253,2005-10-04 13:45:00.000000 UTC,088XX S MORGAN ST,0460,BATTERY,SIMPLE,STREET,false,false,2222,22,21,71,08B,1171191.0,1846222.0,2005,2018-02-10 15:50:01.000000 UTC,41.733498877,-87.648428997,""(41.733498877, -87.648428997)"""
